usuario,ronda,iteracion,sliderDissatisfiedSatisfied,sliderBoredExcited,time,risk,arrival,age,gender,education,nivelFamiliaridad,nivelConocimiento,global_id
ALBG,0,0,75,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,47,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,7
ALBG,0,1,0,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,47,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,7
ALBG,0,2,25,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,47,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,7
ALBG,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,47,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,7
NHS,0,0,25,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,38,Male,Master,Used service robots,Programmed both physical and virtual robots,8
NHS,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,38,Male,Master,Used service robots,Programmed both physical and virtual robots,8
NHS,0,2,100,100,0.4846596000512216,0.9272238212895264,0.1449310118720613,38,Male,Master,Used service robots,Programmed both physical and virtual robots,8
NHS,0,3,25,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,38,Male,Master,Used service robots,Programmed both physical and virtual robots,8
EBJ,0,0,25,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,63,Female,Doctorate,Seen physical service robots,Never programmed robots,9
EBJ,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,63,Female,Doctorate,Seen physical service robots,Never programmed robots,9
EBJ,0,2,0,0,0.4846596000512216,0.9272238212895264,0.1449310118720613,63,Female,Doctorate,Seen physical service robots,Never programmed robots,9
EBJ,0,3,0,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,63,Female,Doctorate,Seen physical service robots,Never programmed robots,9
JNRD,0,0,75,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,52,Male,Doctorate,Seen physical service robots,Never programmed robots,10
JNRD,0,1,25,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,52,Male,Doctorate,Seen physical service robots,Never programmed robots,10
JNRD,0,2,75,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,52,Male,Doctorate,Seen physical service robots,Never programmed robots,10
JNRD,0,3,50,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,52,Male,Doctorate,Seen physical service robots,Never programmed robots,10
JAIA,0,0,25,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,24,Male,Degree,Never seen a virtual or physical service robot,Never programmed robots,11
JAIA,0,1,0,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,24,Male,Degree,Never seen a virtual or physical service robot,Never programmed robots,11
JAIA,0,2,50,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,24,Male,Degree,Never seen a virtual or physical service robot,Never programmed robots,11
JAIA,0,3,50,25,0.45818913617361284,0.8999651727342828,0.2728599727503848,24,Male,Degree,Never seen a virtual or physical service robot,Never programmed robots,11
JAIA,1,0,75,75,0.4595593475463711,0.868748699972358,0.2627338334810066,24,Male,Degree,Never seen a virtual or physical service robot,Never programmed robots,11
JAIA,1,1,75,75,0.4597135588354613,0.8667269593721654,0.2885390361195653,24,Male,Degree,Never seen a virtual or physical service robot,Never programmed robots,11
JAIA,1,2,50,50,0.458904671142526,0.8955263303423449,0.3041781438270339,24,Male,Degree,Never seen a virtual or physical service robot,Never programmed robots,11
JAIA,1,3,25,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,24,Male,Degree,Never seen a virtual or physical service robot,Never programmed robots,11
AGF,0,0,75,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,51,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,12
AGF,0,1,25,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,51,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,12
AGF,0,2,75,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,51,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,12
AGF,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,51,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,12
EGA,0,0,25,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,55,Male,Doctorate,Seen physical service robots,Never programmed robots,13
EGA,0,1,0,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,55,Male,Doctorate,Seen physical service robots,Never programmed robots,13
EGA,0,2,0,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,55,Male,Doctorate,Seen physical service robots,Never programmed robots,13
EGA,0,3,25,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,55,Male,Doctorate,Seen physical service robots,Never programmed robots,13
EGA,1,0,100,50,0.459167682928114,0.8651705018746499,0.1011079520794157,55,Male,Doctorate,Seen physical service robots,Never programmed robots,13
EGA,1,1,0,50,0.45307523226941504,0.9444322826768645,0.27506205796285244,55,Male,Doctorate,Seen physical service robots,Never programmed robots,13
EGA,1,2,100,50,0.4399801697010422,0.9810597352117704,0.1981399600820706,55,Male,Doctorate,Seen physical service robots,Never programmed robots,13
EGA,1,3,75,50,0.4548557836209679,0.9298478876940789,0.04792883266966079,55,Male,Doctorate,Seen physical service robots,Never programmed robots,13
DAGM,0,0,0,0,0.5255373137825703,0.6452670144837881,0.2768108646941967,47,Male,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,14
DAGM,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,47,Male,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,14
DAGM,0,2,50,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,47,Male,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,14
DAGM,0,3,100,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,47,Male,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,14
DAGM,1,0,100,100,0.4595593475463711,0.868748699972358,0.2627338334810066,47,Male,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,14
DAGM,1,1,100,100,0.4597135588354613,0.8667269593721654,0.2885390361195653,47,Male,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,14
DAGM,1,2,100,75,0.458904671142526,0.8955263303423449,0.3041781438270339,47,Male,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,14
DAGM,1,3,0,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,47,Male,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,14
JAPG,0,0,75,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,23,Male,Degree,Seen virtual service robots,Never programmed robots,15
JAPG,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,23,Male,Degree,Seen virtual service robots,Never programmed robots,15
JAPG,0,2,100,100,0.4846596000512216,0.9272238212895264,0.1449310118720613,23,Male,Degree,Seen virtual service robots,Never programmed robots,15
JAPG,0,3,50,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,23,Male,Degree,Seen virtual service robots,Never programmed robots,15
IARM,0,0,75,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,39,Male,Doctorate,Seen physical service robots,Never programmed robots,16
IARM,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,39,Male,Doctorate,Seen physical service robots,Never programmed robots,16
IARM,0,2,50,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,39,Male,Doctorate,Seen physical service robots,Never programmed robots,16
IARM,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,39,Male,Doctorate,Seen physical service robots,Never programmed robots,16
AEHM,0,0,75,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,44,Female,Master,Seen both physical and virtual service robots,Never programmed robots,17
AEHM,0,1,0,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,44,Female,Master,Seen both physical and virtual service robots,Never programmed robots,17
AEHM,0,2,0,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,44,Female,Master,Seen both physical and virtual service robots,Never programmed robots,17
AEHM,0,3,25,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,44,Female,Master,Seen both physical and virtual service robots,Never programmed robots,17
AEHM,1,0,25,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,44,Female,Master,Seen both physical and virtual service robots,Never programmed robots,17
AEHM,1,1,100,100,0.5255373137825703,0.6452670144837881,0.2768108646941967,44,Female,Master,Seen both physical and virtual service robots,Never programmed robots,17
AEHM,1,2,0,75,0.45749702791405916,0.7946569601331365,0.08534473351778746,44,Female,Master,Seen both physical and virtual service robots,Never programmed robots,17
AEHM,1,3,25,75,0.49299214077334197,0.7068230395052644,0.07178876097302342,44,Female,Master,Seen both physical and virtual service robots,Never programmed robots,17
AEHM,2,0,100,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,44,Female,Master,Seen both physical and virtual service robots,Never programmed robots,17
AEHM,2,1,0,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,44,Female,Master,Seen both physical and virtual service robots,Never programmed robots,17
AEHM,2,2,0,25,0.45749702791405916,0.7946569601331365,0.08534473351778746,44,Female,Master,Seen both physical and virtual service robots,Never programmed robots,17
AEHM,2,3,100,100,0.49299214077334197,0.7068230395052644,0.07178876097302342,44,Female,Master,Seen both physical and virtual service robots,Never programmed robots,17
SLB,0,0,75,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,56,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,18
SLB,0,1,25,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,56,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,18
SLB,0,2,75,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,56,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,18
SLB,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,56,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,18
CHGR,0,0,0,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,48,Female,Doctorate,Seen virtual service robots,Never programmed robots,19
CHGR,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,48,Female,Doctorate,Seen virtual service robots,Never programmed robots,19
CHGR,0,2,100,100,0.4846596000512216,0.9272238212895264,0.1449310118720613,48,Female,Doctorate,Seen virtual service robots,Never programmed robots,19
CHGR,0,3,100,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,48,Female,Doctorate,Seen virtual service robots,Never programmed robots,19
RLS,0,0,25,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,45,Female,Doctorate,Seen physical service robots,Never programmed robots,20
RLS,0,1,0,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,45,Female,Doctorate,Seen physical service robots,Never programmed robots,20
RLS,0,2,100,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,45,Female,Doctorate,Seen physical service robots,Never programmed robots,20
RLS,0,3,100,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,45,Female,Doctorate,Seen physical service robots,Never programmed robots,20
EIOR,0,0,25,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,33,Male,Degree,Used service robots,Programmed physical robots,21
EIOR,0,1,0,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,33,Male,Degree,Used service robots,Programmed physical robots,21
EIOR,0,2,0,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,33,Male,Degree,Used service robots,Programmed physical robots,21
EIOR,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,33,Male,Degree,Used service robots,Programmed physical robots,21
EIOR,1,0,100,75,0.4595593475463711,0.868748699972358,0.2627338334810066,33,Male,Degree,Used service robots,Programmed physical robots,21
EIOR,1,1,25,0,0.4597135588354613,0.8667269593721654,0.2885390361195653,33,Male,Degree,Used service robots,Programmed physical robots,21
EIOR,1,2,100,75,0.458904671142526,0.8955263303423449,0.3041781438270339,33,Male,Degree,Used service robots,Programmed physical robots,21
EIOR,1,3,0,0,0.45818913617361284,0.8999651727342828,0.2728599727503848,33,Male,Degree,Used service robots,Programmed physical robots,21
ERR,0,0,50,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,31,Male,Doctorate,Seen both physical and virtual service robots,Programmed both physical and virtual robots,22
ERR,0,1,50,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,31,Male,Doctorate,Seen both physical and virtual service robots,Programmed both physical and virtual robots,22
ERR,0,2,75,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,31,Male,Doctorate,Seen both physical and virtual service robots,Programmed both physical and virtual robots,22
ERR,0,3,75,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,31,Male,Doctorate,Seen both physical and virtual service robots,Programmed both physical and virtual robots,22
MO,0,0,25,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,54,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,23
MO,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,54,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,23
MO,0,2,0,0,0.4846596000512216,0.9272238212895264,0.1449310118720613,54,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,23
MO,0,3,25,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,54,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,23
MO,1,0,75,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,54,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,23
MO,1,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,54,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,23
MO,1,2,25,0,0.4846596000512216,0.9272238212895264,0.1449310118720613,54,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,23
MO,1,3,100,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,54,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,23
MO,2,0,100,100,0.4595593475463711,0.868748699972358,0.2627338334810066,54,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,23
MO,2,1,100,100,0.4597135588354613,0.8667269593721654,0.2885390361195653,54,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,23
MO,2,2,100,100,0.458904671142526,0.8955263303423449,0.3041781438270339,54,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,23
MO,2,3,100,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,54,Female,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,23
SHL,0,0,75,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,55,Male,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,24
SHL,0,1,0,50,0.4984615284837905,0.6634833487600097,0.19823301279341907,55,Male,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,24
SHL,0,2,0,0,0.4846596000512216,0.9272238212895264,0.1449310118720613,55,Male,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,24
SHL,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,55,Male,Doctorate,Never seen a virtual or physical service robot,Never programmed robots,24
AM,0,0,100,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,54,Female,Doctorate,Seen physical service robots,Never programmed robots,25
AM,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,54,Female,Doctorate,Seen physical service robots,Never programmed robots,25
AM,0,2,50,50,0.4846596000512216,0.9272238212895264,0.1449310118720613,54,Female,Doctorate,Seen physical service robots,Never programmed robots,25
AM,0,3,75,25,0.45818913617361284,0.8999651727342828,0.2728599727503848,54,Female,Doctorate,Seen physical service robots,Never programmed robots,25
CARE,0,0,25,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,43,Male,Doctorate,Used service robots,Programmed both physical and virtual robots,26
CARE,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,43,Male,Doctorate,Used service robots,Programmed both physical and virtual robots,26
CARE,0,2,100,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,43,Male,Doctorate,Used service robots,Programmed both physical and virtual robots,26
CARE,0,3,100,50,0.45818913617361284,0.8999651727342828,0.2728599727503848,43,Male,Doctorate,Used service robots,Programmed both physical and virtual robots,26
CARE,1,0,75,50,0.459167682928114,0.8651705018746499,0.1011079520794157,43,Male,Doctorate,Used service robots,Programmed both physical and virtual robots,26
CARE,1,1,0,25,0.45307523226941504,0.9444322826768645,0.27506205796285244,43,Male,Doctorate,Used service robots,Programmed both physical and virtual robots,26
CARE,1,2,100,50,0.4399801697010422,0.9810597352117704,0.1981399600820706,43,Male,Doctorate,Used service robots,Programmed both physical and virtual robots,26
CARE,1,3,100,50,0.4548557836209679,0.9298478876940789,0.04792883266966079,43,Male,Doctorate,Used service robots,Programmed both physical and virtual robots,26
CARE,2,0,75,75,0.43489629163087073,0.8175859038955056,0.0975142348637857,43,Male,Doctorate,Used service robots,Programmed both physical and virtual robots,26
CARE,2,1,0,75,0.45749702791405916,0.7946569601331365,0.08534473351778746,43,Male,Doctorate,Used service robots,Programmed both physical and virtual robots,26
CARE,2,2,0,100,0.43709547413557837,0.7996789342873667,0.029095970087296107,43,Male,Doctorate,Used service robots,Programmed both physical and virtual robots,26
CARE,2,3,100,50,0.4483187358474537,0.8566280602931865,0.01865252249225225,43,Male,Doctorate,Used service robots,Programmed both physical and virtual robots,26
JCT,0,0,50,75,0.5255373137825703,0.6452670144837881,0.2768108646941967,55,Male,Doctorate,Seen physical service robots,Never programmed robots,27
JCT,0,1,0,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,55,Male,Doctorate,Seen physical service robots,Never programmed robots,27
JCT,0,2,75,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,55,Male,Doctorate,Seen physical service robots,Never programmed robots,27
JCT,0,3,100,100,0.45818913617361284,0.8999651727342828,0.2728599727503848,55,Male,Doctorate,Seen physical service robots,Never programmed robots,27
JCT,1,0,75,75,0.4595593475463711,0.868748699972358,0.2627338334810066,55,Male,Doctorate,Seen physical service robots,Never programmed robots,27
JCT,1,1,50,75,0.4597135588354613,0.8667269593721654,0.2885390361195653,55,Male,Doctorate,Seen physical service robots,Never programmed robots,27
JCT,1,2,100,100,0.458904671142526,0.8955263303423449,0.3041781438270339,55,Male,Doctorate,Seen physical service robots,Never programmed robots,27
JCT,1,3,0,25,0.45818913617361284,0.8999651727342828,0.2728599727503848,55,Male,Doctorate,Seen physical service robots,Never programmed robots,27
mp,0,0,50,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,51,Female,Doctorate,,,28
mp,0,1,25,25,0.4984615284837905,0.6634833487600097,0.19823301279341907,51,Female,Doctorate,,,28
mp,0,2,100,75,0.4846596000512216,0.9272238212895264,0.1449310118720613,51,Female,Doctorate,,,28
mp,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,51,Female,Doctorate,,,28
REGC,0,0,0,50,0.5255373137825703,0.6452670144837881,0.2768108646941967,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,0,1,0,75,0.4984615284837905,0.6634833487600097,0.19823301279341907,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,0,2,100,100,0.4846596000512216,0.9272238212895264,0.1449310118720613,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,0,3,75,75,0.45818913617361284,0.8999651727342828,0.2728599727503848,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,1,0,75,50,0.459167682928114,0.8651705018746499,0.1011079520794157,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,1,1,0,50,0.45307523226941504,0.9444322826768645,0.27506205796285244,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,1,2,75,50,0.4399801697010422,0.9810597352117704,0.1981399600820706,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,1,3,100,75,0.4548557836209679,0.9298478876940789,0.04792883266966079,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,2,0,75,50,0.43489629163087073,0.8175859038955056,0.0975142348637857,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,2,1,100,75,0.45749702791405916,0.7946569601331365,0.08534473351778746,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,2,2,100,50,0.43709547413557837,0.7996789342873667,0.029095970087296107,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,2,3,0,100,0.4483187358474537,0.8566280602931865,0.01865252249225225,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,3,0,100,75,0.459167682928114,0.8651705018746499,0.1011079520794157,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,3,1,100,100,0.45307523226941504,0.9444322826768645,0.27506205796285244,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,3,2,100,100,0.4399801697010422,0.9810597352117704,0.1981399600820706,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
REGC,3,3,100,75,0.4548557836209679,0.9298478876940789,0.04792883266966079,27,Male,Doctorate,Seen virtual service robots,Programmed physical robots,29
SNY,0,0,25,25,0.5255373137825703,0.6452670144837881,0.2768108646941967,60,Male,Doctorate,Seen physical service robots,Programmed both physical and virtual robots,30
SNY,0,1,0,0,0.4984615284837905,0.6634833487600097,0.19823301279341907,60,Male,Doctorate,Seen physical service robots,Programmed both physical and virtual robots,30
SNY,0,2,50,25,0.4846596000512216,0.9272238212895264,0.1449310118720613,60,Male,Doctorate,Seen physical service robots,Programmed both physical and virtual robots,30
